,USPS,ST,NAME,ZCTA5,LAT,LON
,Sachsen,SN,Leipzig,04103,51.331429,12.388598
,Sachsen,SN,Leipzig,04105,51.348810,12.363857
,Sachsen,SN,Leipzig,04107,51.330257,12.369907
,Sachsen,SN,Leipzig,04109,51.338727,12.364032
,Sachsen,SN,Leipzig,04155,51.359795,12.353981
,Sachsen,SN,Leipzig,04157,51.375581,12.371724
,Sachsen,SN,Leipzig,04158,51.405074,12.327633
,Sachsen,SN,Leipzig,04159,51.379459,12.300475
,Sachsen,SN,Leipzig,04129,51.373813,12.392774
,Sachsen,SN,Leipzig,04177,51.337969,12.330519
,Sachsen,SN,Leipzig,04178,51.357590,12.269315
,Sachsen,SN,Leipzig,04179,51.348147,12.311835
,Sachsen,SN,Leipzig,04205,51.324048,12.266300
,Sachsen,SN,Leipzig,04207,51.308961,12.280572
,Sachsen,SN,Leipzig,04209,51.319146,12.294319
,Sachsen,SN,Leipzig,04229,51.319223,12.337431
,Sachsen,SN,Leipzig,04249,51.274679,12.298823
,Sachsen,SN,Leipzig,04275,51.320410,12.374010
,Sachsen,SN,Leipzig,04277,51.305066,12.374326
,Sachsen,SN,Leipzig,04279,51.292604,12.397888
,Sachsen,SN,Leipzig,04288,51.288936,12.472194
,Sachsen,SN,Leipzig,04289,51.295523,12.429327
,Sachsen,SN,Leipzig,04299,51.318757,12.425904
,Sachsen,SN,Leipzig,04315,51.344444,12.408860
,Sachsen,SN,Leipzig,04316,51.324484,12.469496
,Sachsen,SN,Leipzig,04317,51.330480,12.404763
,Sachsen,SN,Leipzig,04318,51.338172,12.429740
,Sachsen,SN,Leipzig,04319,51.336999,12.511026
,Sachsen,SN,Leipzig,04328,51.347568,12.452466
,Sachsen,SN,Leipzig,04329,51.358771,12.473264
,Sachsen,SN,Leipzig,04347,51.358681,12.422504
,Sachsen,SN,Leipzig,04349,51.387884,12.445857
,Sachsen,SN,Leipzig,04356,51.419670,12.424640
,Sachsen,SN,Leipzig,04357,51.379110,12.410224
,Sachsen,SN,Dresden,01067,51.057732,13.724097
,Sachsen,SN,Dresden,01069,51.038873,13.736869
,Sachsen,SN,Dresden,01097,51.065637,13.742479
,Sachsen,SN,Dresden,01099,51.085418,13.826280
,Sachsen,SN,Dresden,01109,51.120976,13.763206
,Sachsen,SN,Dresden,01127,51.079576,13.733961
,Sachsen,SN,Dresden,01129,51.095279,13.725253
,Sachsen,SN,Dresden,01139,51.078602,13.690693
,Sachsen,SN,Dresden,01156,51.066881,13.621543
,Sachsen,SN,Dresden,01157,51.060581,13.673820
,Sachsen,SN,Dresden,01159,51.041212,13.699229
,Sachsen,SN,Dresden,01169,51.041144,13.666584
,Sachsen,SN,Dresden,01187,51.025944,13.698031
,Sachsen,SN,Dresden,01189,51.013826,13.702453
,Sachsen,SN,Dresden,01217,51.017138,13.741631
,Sachsen,SN,Dresden,01219,51.022071,13.768366
,Sachsen,SN,Dresden,01237,51.018747,13.798559
,Sachsen,SN,Dresden,01239,51.000996,13.789449
,Sachsen,SN,Dresden,01257,50.998751,13.816917
,Sachsen,SN,Dresden,01259,50.998829,13.853848
,Sachsen,SN,Dresden,01277,51.035291,13.798290
,Sachsen,SN,Dresden,01279,51.024977,13.828177
,Sachsen,SN,Dresden,01307,51.053683,13.774081
,Sachsen,SN,Dresden,01309,51.048687,13.790929
,Sachsen,SN,Dresden,01324,51.065927,13.855232
,Sachsen,SN,Dresden,01326,51.030660,13.851477
,Sachsen,SN,Dresden,01108,51.155600,13.783733
,Sachsen,SN,Dresden,01156,51.066234,13.621543
,Sachsen,SN,Dresden,01328,51.044596,13.910440
